gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
4952665562	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/188367446	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Vachellia	Vachellia erioloba		SPECIES	Vachellia erioloba (E.Mey.) P.J.H.Hurter	Vachellia erioloba		ZA		Northern Cape	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-29.263471	21.070381	10.0						2023-08-19T13:12	19	8	2023	3974776	3974776	HUMAN_OBSERVATION	iNaturalist	Observations	188367446		Craig Peter	2023-10-21T11:47:07	CC_BY_NC_4_0	Craig Peter	Craig Peter			2025-06-25T04:27:35.206Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4952663042	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/188367377	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Vachellia	Vachellia erioloba		SPECIES	Vachellia erioloba (E.Mey.) P.J.H.Hurter	Vachellia erioloba		ZA		Northern Cape	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-29.298643	21.158441	10.0						2023-08-19T13:03	19	8	2023	3974776	3974776	HUMAN_OBSERVATION	iNaturalist	Observations	188367377		Craig Peter	2023-10-21T11:46:46	CC_BY_NC_4_0	Craig Peter	Craig Peter			2025-06-25T01:59:52.086Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4952655430	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/188367416	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Vachellia	Vachellia erioloba		SPECIES	Vachellia erioloba (E.Mey.) P.J.H.Hurter	Vachellia erioloba		ZA		Northern Cape	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-29.278316	21.11744	10.0						2023-08-19T13:08	19	8	2023	3974776	3974776	HUMAN_OBSERVATION	iNaturalist	Observations	188367416		Craig Peter	2023-10-21T11:46:55	CC_BY_NC_4_0	Craig Peter	Craig Peter			2025-06-25T04:27:37.540Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4952655429	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/188367399	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Vachellia	Vachellia erioloba		SPECIES	Vachellia erioloba (E.Mey.) P.J.H.Hurter	Vachellia erioloba		ZA		Northern Cape	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-29.28263	21.132842	10.0						2023-08-19T13:07	19	8	2023	3974776	3974776	HUMAN_OBSERVATION	iNaturalist	Observations	188367399		Craig Peter	2023-10-21T11:46:51	CC_BY_NC_4_0	Craig Peter	Craig Peter			2025-06-25T02:36:48.740Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4952655426	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/188163111	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Vachellia	Vachellia erioloba		SPECIES	Vachellia erioloba (E.Mey.) P.J.H.Hurter	Vachellia erioloba		ZA		Northern Cape	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-29.019039	20.766198	10.0						2023-08-19T13:59	19	8	2023	3974776	3974776	HUMAN_OBSERVATION	iNaturalist	Observations	188163111		Craig Peter	2023-10-19T17:50:04	CC_BY_NC_4_0	Craig Peter	Craig Peter			2025-06-25T05:34:07.922Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4952650278	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/188367441	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Vachellia	Vachellia erioloba		SPECIES	Vachellia erioloba (E.Mey.) P.J.H.Hurter	Vachellia erioloba		ZA		Northern Cape	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-29.264966	21.074576	10.0						2023-08-19T13:12	19	8	2023	3974776	3974776	HUMAN_OBSERVATION	iNaturalist	Observations	188367441		Craig Peter	2023-10-21T11:47:05	CC_BY_NC_4_0	Craig Peter	Craig Peter			2025-06-25T04:27:37.419Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4952647788	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/188367417	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Vachellia	Vachellia erioloba		SPECIES	Vachellia erioloba (E.Mey.) P.J.H.Hurter	Vachellia erioloba		ZA		Northern Cape	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-29.278041	21.116496	10.0						2023-08-19T13:08	19	8	2023	3974776	3974776	HUMAN_OBSERVATION	iNaturalist	Observations	188367417		Craig Peter	2023-10-21T11:46:56	CC_BY_NC_4_0	Craig Peter	Craig Peter			2025-06-25T04:27:41.413Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4952608452	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/188367450	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Vachellia	Vachellia erioloba		SPECIES	Vachellia erioloba (E.Mey.) P.J.H.Hurter	Vachellia erioloba		ZA		Northern Cape	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-29.263317	21.069945	10.0						2023-08-19T13:12	19	8	2023	3974776	3974776	HUMAN_OBSERVATION	iNaturalist	Observations	188367450		Craig Peter	2023-10-21T11:47:09	CC_BY_NC_4_0	Craig Peter	Craig Peter			2025-06-25T04:27:52.229Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4952561619	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/188398568	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Vachellia	Vachellia erioloba		SPECIES	Vachellia erioloba (E.Mey.) P.J.H.Hurter	Vachellia erioloba		ZA		Northern Cape	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-29.330073	21.153832	10.0						2023-08-19T13:01	19	8	2023	3974776	3974776	HUMAN_OBSERVATION	iNaturalist	Observations	188398568		Craig Peter	2023-10-21T16:53:52	CC_BY_NC_4_0	Craig Peter	Craig Peter			2025-06-25T03:29:08.222Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4952561618	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/188367449	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Vachellia	Vachellia erioloba		SPECIES	Vachellia erioloba (E.Mey.) P.J.H.Hurter	Vachellia erioloba		ZA		Northern Cape	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-29.262469	21.067565	10.0						2023-08-19T13:12	19	8	2023	3974776	3974776	HUMAN_OBSERVATION	iNaturalist	Observations	188367449		Craig Peter	2023-10-21T11:47:09	CC_BY_NC_4_0	Craig Peter	Craig Peter			2025-06-25T04:27:37.886Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
