species,decimalLatitude,decimalLongitude,year,eventID,datasetKey
Dicaelus dilatatus,35.684589,-83.532102,2016,GRSM.2016.22,8cb7c449-ba11-4464-865e-8029b8d772e8
Carabus goryi,35.670778,-83.481653,2016,GRSM.2016.26,8cb7c449-ba11-4464-865e-8029b8d772e8
Cyclotrachelus sigillatus,35.684589,-83.532102,2016,GRSM.2016.22,8cb7c449-ba11-4464-865e-8029b8d772e8
Dicaelus dilatatus,35.670778,-83.481653,2016,GRSM.2016.26,8cb7c449-ba11-4464-865e-8029b8d772e8
Cyclotrachelus sigillatus,35.670778,-83.481653,2016,GRSM.2016.22,8cb7c449-ba11-4464-865e-8029b8d772e8
Pterostichus tristis,35.670778,-83.481653,2016,GRSM.2016.26,8cb7c449-ba11-4464-865e-8029b8d772e8
Carabus goryi,35.684589,-83.532102,2016,GRSM.2016.26,8cb7c449-ba11-4464-865e-8029b8d772e8
Cyclotrachelus sigillatus,35.670778,-83.481653,2016,GRSM.2016.26,8cb7c449-ba11-4464-865e-8029b8d772e8
Pasimachus punctulatus,35.679121,-83.482275,2016,GRSM.2016.26,8cb7c449-ba11-4464-865e-8029b8d772e8
Sphaeroderus stenostomus,35.684589,-83.532102,2016,GRSM.2016.26,8cb7c449-ba11-4464-865e-8029b8d772e8
Galerita bicolor,35.684589,-83.532102,2016,GRSM.2016.26,8cb7c449-ba11-4464-865e-8029b8d772e8
Sphaeroderus stenostomus,35.670778,-83.481653,2016,GRSM.2016.24,8cb7c449-ba11-4464-865e-8029b8d772e8
Sphaeroderus bicarinatus,35.670778,-83.481653,2016,GRSM.2016.24,8cb7c449-ba11-4464-865e-8029b8d772e8
Sphaeroderus bicarinatus,35.670778,-83.481653,2016,GRSM.2016.24,8cb7c449-ba11-4464-865e-8029b8d772e8
Sphaeroderus stenostomus,35.670778,-83.481653,2016,GRSM.2016.24,8cb7c449-ba11-4464-865e-8029b8d772e8
Galerita bicolor,35.679121,-83.482275,2016,GRSM.2016.24,8cb7c449-ba11-4464-865e-8029b8d772e8
Cyclotrachelus freitagi,35.66449,-83.524234,2016,GRSM.2016.28,8cb7c449-ba11-4464-865e-8029b8d772e8
Dicaelus teter,35.670778,-83.481653,2016,GRSM.2016.24,8cb7c449-ba11-4464-865e-8029b8d772e8
Cyclotrachelus freitagi,35.670778,-83.481653,2016,GRSM.2016.30,8cb7c449-ba11-4464-865e-8029b8d772e8
